,มาตรา,เนื้อหา,หัวข้อ,category
786,95/1,ข้อความซึ่งเป็นการบอกเล่าที่พยานบุคคลใดนำมาเบิกความต่อศาลก็ดี หรือที่บันทึกไว้ในเอกสารหรือวัตถุอื่นใดซึ่งได้อ้างเป็นพยานหลักฐานต่อศาลก็ดี หากนำเสนอเพื่อพิสูจน์ความจริงแห่งข้อความนั้น ให้ถือเป็นพยานบอกเล่า ห้ามมิให้ศาลรับฟังพยานบอกเล่า เว้นแต่ (1) ตามสภาพ ลักษณะ แหล่งที่มา และข้อเท็จจริงแวดล้อมของพยานบอกเล่านั้น น่าเชื่อว่าจะพิสูจน์ความจริงได้ หรือ (2) มีเหตุจำเป็นเนื่องจากไม่สามารถนำบุคคลซึ่งเป็นผู้ที่ได้เห็น ได้ยิน หรือทราบข้อความเกี่ยวในเรื่องที่จะให้การเป็นพยานนั้นด้วยตนเองโดยตรงมาเป็นพยานได้ และมีเหตุผลสมควรเพื่อประโยชน์แห่งความยุติธรรมที่จะรับฟังพยานบอกเล่านั้น ในกรณีที่ศาลเห็นว่าไม่ควรรับไว้ซึ่งพยานบอกเล่าใด ให้นำความในมาตรา 95 วรรคสอง มาใช้บังคับโดยอนุโลม,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,พยานบอกเล่าในกฎหมาย
787,96,พยานที่เป็นคนหูหนวก หรือเป็นใบ้หรือทั้งหูหนวกและเป็นใบ้นั้นอาจถูกถามหรือให้คำตอบโดยวิธีเขียนหนังสือ หรือโดยวิธีอื่นใดที่สมควรได้ และคำเบิกความของบุคคลนั้น ๆ ให้ถือว่าเป็นคำพยานบุคคลตามประมวลกฎหมายนี้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การให้พยานของผู้ที่มีความบกพร่องทางสติปัญญา
788,97,คู่ความฝ่ายหนึ่ง จะอ้างคู่ความอีกฝ่ายหนึ่งเป็นพยานของตนหรือจะอ้างตนเองเป็นพยานก็ได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การอ้างพยาน
789,98,คู่ความฝ่ายใดฝ่ายหนึ่งจะอ้างบุคคลใดเป็นพยานของตนก็ได้เมื่อบุคคลนั้นเป็นผู้มีความรู้เชี่ยวชาญในศิลป วิทยาศาสตร์ การฝีมือ การค้า หรือการงานที่ทำหรือในกฎหมายต่างประเทศ และซึ่งความเห็นของพยานอาจเป็นประโยชน์ในการวินิจฉัยชี้ขาดข้อความในประเด็น ทั้งนี้ ไม่ว่าพยานจะเป็นผู้มีอาชีพในการนั้นหรือไม่,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อตกลงในการใช้พยานเชี่ยวชาญ
790,99,ถ้าศาลเห็นว่า จำเป็นที่จะต้องตรวจบุคคล วัตถุ สถานที่หรือตั้งผู้เชี่ยวชาญตามที่บัญญัติไว้ในมาตรา 129 และ 130 เมื่อศาลเห็นสมควร ไม่ว่าการพิจารณาคดีจะอยู่ในชั้นใด หรือเมื่อมีคำขอของคู่ความฝ่ายใดภายใต้บังคับแห่งบทบัญญัติมาตรา 87 และ 88 ให้ศาลมีอำนาจออกคำสั่งกำหนดการตรวจหรือการแต่งตั้งผู้เชี่ยวชาญเช่นว่านั้นได้ บทบัญญัติแห่งมาตรานี้ไม่ตัดสิทธิของคู่ความในอันที่จะเรียกบุคคลผู้มีความรู้เชี่ยวชาญมาเป็นพยานฝ่ายตนได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,อำนาจของศาลในการตรวจคดีและแต่งตั้งผู้เชี่ยวชาญ
791,100,คู่ความฝ่ายใดฝ่ายหนึ่งซึ่งประสงค์จะอ้างอิงข้อเท็จจริงใดและขอให้คู่ความฝ่ายอื่นตอบว่าจะรับรองข้อเท็จจริงนั้นว่าถูกต้องหรือไม่ อาจส่งคำบอกกล่าวเป็นหนังสือแจ้งรายการข้อเท็จจริงนั้นไปให้คู่ความฝ่ายอื่นก่อนวันสืบพยานไม่น้อยกว่าเจ็ดวัน ถ้าคู่ความฝ่ายอื่นได้รับคำบอกกล่าวโดยชอบแล้ว เมื่อคู่ความฝ่ายที่ส่งคำบอกกล่าวร้องขอต่อศาลในวันสืบพยาน ให้ศาลสอบถามคู่ความฝ่ายอื่นว่าจะยอมรับข้อเท็จจริงตามที่ได้รับ     คำบอกกล่าวนั้นว่าถูกต้องหรือไม่ แล้วให้ศาลจดคำตอบไว้ในรายงานกระบวนพิจารณา ถ้าคู่ความฝ่ายนั้นไม่ตอบคำถามเกี่ยวกับข้อเท็จจริงใด หรือปฏิเสธข้อเท็จจริงใดโดยไม่มีเหตุแห่งการปฏิเสธโดยชัดแจ้ง ให้ถือว่ายอมรับข้อเท็จจริงนั้นแล้ว เว้นแต่ศาลจะเห็นว่าคู่ความฝ่ายนั้นไม่อยู่ในวิสัยที่จะตอบหรือแสดงเหตุแห่งการปฏิเสธโดยชัดแจ้งในขณะนั้น ศาลจะมีคำสั่งให้คู่ความฝ่ายนั้นทำ  คำแถลงเกี่ยวกับข้อเท็จจริงนั้นมายื่นต่อศาลภายในระยะเวลาที่ศาลเห็นสมควรก็ได้ บทบัญญัติแห่งมาตรานี้ให้ใช้บังคับแก่เรื่องเอกสารทั้งหมดหรือฉบับใดฉบับหนึ่งที่คู่ความแสดงความจำนงจะอ้างอิงด้วยโดยอนุโลม แต่ต้องส่งสำเนาเอกสารนั้นไปพร้อมกับคำบอกกล่าวและต้องมีต้นฉบับเอกสารนั้นให้คู่ความฝ่ายอื่นตรวจดูได้เมื่อต้องการ เว้นแต่ต้นฉบับเอกสารนั้นอยู่ในความครอบครองของคู่ความฝ่ายอื่นหรือของบุคคลภายนอก,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การอ้างอิงข้อเท็จจริงและการตอบรับ
792,101,ถ้าบุคคลใดเกรงว่า พยานหลักฐานซึ่งตนอาจต้องอ้างอิงในภายหน้าจะ สูญหายหรือยากแก่การนำมา หรือถ้าคู่ความฝ่ายใดในคดีเกรงว่าพยานหลักฐานซึ่งตนจำนงจะอ้างอิงจะสูญหายเสียก่อนที่จะนำมาสืบ หรือเป็นการยากที่จะนำมาสืบในภายหลังบุคคลนั้นหรือคู่ความฝ่ายนั้นอาจยื่นคำขอต่อศาลโดยทำเป็นคำร้องขอหรือคำร้องให้ศาลมีคำสั่งให้สืบพยานหลักฐานนั้นไว้ทันที เมื่อศาลได้รับคำขอเช่นว่านั้น ให้ศาลหมายเรียกผู้ขอและคู่ความอีกฝ่ายหนึ่งหรือบุคคลภายนอกที่เกี่ยวข้องมายังศาล และเมื่อได้ฟังบุคคลเหล่านั้นแล้ว ให้ศาลสั่งคำขอตามที่เห็นสมควร ถ้าศาลสั่งอนุญาตตามคำขอแล้ว ให้สืบพยานไปตามที่บัญญัติไว้ในประมวลกฎหมายนี้ ส่วนรายงานและเอกสารอื่น ๆ ที่เกี่ยวข้องกับการนั้นให้ศาลเก็บรักษาไว้ ในกรณีที่คู่ความอีกฝ่ายหนึ่งหรือบุคคลภายนอกที่เกี่ยวข้องไม่มีภูมิลำเนาอยู่ในราชอาณาจักรและยังมิได้เข้ามาในคดีนั้น เมื่อศาลได้รับคำขอตามวรรคหนึ่ง ให้ศาลสั่งคำขอนั้นอย่างคำขออันอาจทำได้แต่ฝ่ายเดียว ถ้าศาลสั่งอนุญาตตามคำขอแล้วให้สืบพยานไปฝ่ายเดียว,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การขอสืบพยานหลักฐานไว้ทันที
793,101/1,ในกรณีที่มีเหตุฉุกเฉินซึ่งจำเป็นต้องสืบพยานหลักฐานใดเป็นการเร่งด่วนและไม่สามารถแจ้งให้คู่ความฝ่ายอื่นทราบก่อนได้ เมื่อมีการยื่นคำขอตามมาตรา 101 พร้อมกับคำฟ้องหรือคำให้การหรือภายหลังจากนั้น คู่ความฝ่ายที่ขอจะยื่นคำขอฝ่ายเดียวโดยทำเป็นคำร้องรวมไปด้วย เพื่อให้ศาลมีคำสั่งโดยไม่ชักช้าก็ได้ และถ้าจำเป็นจะขอให้ศาลมีคำสั่งให้ยึดหรือให้ส่งต่อศาลซึ่งเอกสารหรือวัตถุที่จะใช้เป็นพยานหลักฐานที่ขอสืบไว้ก่อนด้วยก็ได้ คำร้องตามวรรคหนึ่งต้องบรรยายถึงข้อเท็จจริงที่แสดงว่ามีเหตุฉุกเฉินซึ่งจำเป็นต้องสืบพยานหลักฐานใดโดยเร่งด่วนและไม่สามารถแจ้งให้คู่ความฝ่ายอื่นทราบก่อนได้ รวมทั้งความเสียหายที่จะเกิดขึ้นจากการที่มิได้มีการสืบพยานหลักฐานดังกล่าว ส่วนในกรณีที่จะขอให้ศาลมีคำสั่งให้ยึดหรือให้ส่งต่อศาลซึ่งเอกสารหรือวัตถุที่จะใช้เป็นพยานหลักฐาน คำร้องนั้นต้องบรรยายถึงข้อเท็จจริงที่แสดงถึงความจำเป็นที่จะต้องยึดหรือให้ส่งเอกสารหรือวัตถุนั้นว่ามีอยู่อย่างไร          ในการนี้ห้ามมิให้ศาลอนุญาตตามคำร้องนั้น เว้นแต่จะเป็นที่พอใจของศาลจากการไต่สวนว่ามีเหตุฉุกเฉินและมีความจำเป็นตามคำร้องนั้นจริง แต่ทั้งนี้ไม่ตัดสิทธิคู่ความฝ่ายอื่นที่จะขอให้ศาลออกหมายเรียกพยานดังกล่าวมาศาล เพื่อถามค้านและดำเนินการตามมาตรา 117 ในภายหลัง      หากไม่อาจดำเนินการดังกล่าวได้ ศาลต้องใช้ความระมัดระวังในการชั่งน้ำหนักพยานหลักฐาน,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,คำร้องเร่งด่วนสำหรับการสืบพยานหลักฐานในกรณีฉุกเฉิน
794,101/2,ในกรณีที่ศาลมีคำสั่งอนุญาตตามคำขอให้ยึดหรือให้ส่งเอกสารหรือวัตถุที่จะใช้เป็นพยานหลักฐาน ศาลอาจกำหนดเงื่อนไขอย่างใดตามที่เห็นสมควร และจะสั่งด้วยว่าให้ผู้ขอนำเงินหรือหาประกันตามจำนวนที่เห็นสมควรมาวางศาลเพื่อการชำระค่าสินไหมทดแทนสำหรับความเสียหายที่อาจเกิดขึ้นแก่บุคคลใด เนื่องจากศาลได้มีคำสั่งโดยมีความเห็นหลงไปว่ามีเหตุจำเป็นโดยความผิดหรือเลินเล่อของผู้ขอก็ได้ ให้นำความในมาตรา 261 มาตรา 262 มาตรา 263 มาตรา 267 มาตรา 268 และมาตรา 269 มาใช้บังคับแก่กรณีตามวรรคหนึ่งโดยอนุโลม และในกรณีที่ทรัพย์ซึ่งศาลสั่งยึดนั้นเป็นของบุคคลที่สาม ให้บุคคลที่สามมีสิทธิเสมือนเป็นจำเลยในคดี และเมื่อหมดความจำเป็นที่จะใช้เอกสารหรือวัตถุนั้นเป็นพยานหลักฐานต่อไปแล้ว เมื่อศาลเห็นสมควรหรือเมื่อผู้มีสิทธิจะได้รับคืนร้องขอ ให้ศาลมีคำสั่งคืนเอกสารหรือวัตถุนั้นแก่ผู้ขอ,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การยึดและส่งเอกสารหรือวัตถุเพื่อเป็นพยานหลักฐาน
795,102,ให้ศาลที่พิจารณาคดีเป็นผู้สืบพยานหลักฐาน โดยจะสืบในศาลหรือนอกศาล ณ ที่ใด ๆ ก็ได้ แล้วแต่ศาลจะสั่งตามที่เห็นสมควรตามความจำเป็นแห่งสภาพของพยานหลักฐานนั้น แต่ถ้าศาลที่พิจารณาคดีเห็นเป็นการจำเป็น ให้มีอำนาจมอบให้ผู้พิพากษาคนใดคนหนึ่งในศาลนั้น หรือตั้งให้ศาลอื่นสืบพยานหลักฐานแทนได้ ให้ผู้พิพากษาที่รับมอบหรือศาลที่ได้รับแต่งตั้งนั้นมีอำนาจและหน้าที่เช่นเดียวกับศาลที่พิจารณาคดีรวมทั้งอำนาจที่จะมอบให้ผู้พิพากษาคนใดคนหนึ่งในศาลนั้นหรือตั้งศาลอื่นให้ทำการสืบพยานหลักฐานแทนต่อไปด้วย ถ้าศาลที่พิจารณาคดีได้แต่งตั้งให้ศาลอื่นสืบพยานแทน คู่ความฝ่ายใดฝ่ายหนึ่งจะแถลงต่อศาลที่พิจารณาคดีว่า ตนมีความจำนงจะไปฟังการพิจารณาก็ได้ ในกรณีเช่นนี้ให้ศาลที่ได้รับแต่งตั้งแจ้งวันกำหนดสืบพยานหลักฐานให้ผู้ขอทราบล่วงหน้าอย่างน้อยไม่ต่ำกว่าเจ็ดวัน คู่ความที่ไปฟังการพิจารณานั้นชอบที่จะใช้สิทธิได้เสมือนหนึ่งว่ากระบวนพิจารณานั้นได้ดำเนินในศาลที่พิจารณาคดี ให้ส่งสำเนาคำฟ้องและคำให้การพร้อมด้วยเอกสารและหลักฐานอื่น ๆ อันจำเป็นเพื่อสืบพยานหลักฐานไปยังศาลที่ได้รับแต่งตั้งดังกล่าวแล้ว ถ้าคู่ความฝ่ายที่อ้างอิงพยานหลักฐานนั้นมิได้แถลงความจำนงที่จะไปฟังการพิจารณา ก็ให้แจ้งไปให้ศาลที่ได้รับแต่งตั้งทราบข้อประเด็นที่จะสืบ เมื่อได้สืบพยานหลักฐานเสร็จแล้ว ให้เป็นหน้าที่ของศาลที่รับแต่งตั้งจะต้องส่งรายงานที่จำเป็นและเอกสารอื่น ๆ ทั้งหมดอันเกี่ยวข้องในการสืบพยานหลักฐานไปยังศาลที่พิจารณาคดี,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,วิธีการสืบพยานหลักฐานในศาล
796,103,ภายใต้บังคับบทบัญญัติแห่งประมวลกฎหมายนี้ว่าด้วยการขาดนัดการร้องสอด และการขับไล่ออกนอกศาล ห้ามมิให้ศาลที่พิจารณาคดี หรือผู้พิพากษาที่รับมอบหมาย หรือศาลที่ได้รับแต่งตั้งดังกล่าวข้างต้นทำการสืบพยานหลักฐานใด โดยมิได้ให้โอกาสเต็มที่แก่คู่ความทุกฝ่ายในอันที่จะมาฟังการพิจารณา และใช้สิทธิเกี่ยวด้วยกระบวนพิจารณาเช่นว่านั้น ตามที่บัญญัติไว้ในประมวลกฎหมายนี้ ไม่ว่าพยานหลักฐานนั้นคู่ความฝ่ายใดจะเป็นผู้อ้างอิงหรือศาลเป็นผู้สั่งให้สืบ,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อกำหนดในการสืบพยานและกระบวนการยุติธรรม
797,103/1,ในกรณีที่คู่ความตกลงกัน และศาลเห็นเป็นการจำเป็นและสมควร ศาลอาจแต่งตั้งเจ้าพนักงานศาลหรือเจ้าพนักงานอื่นซึ่งคู่ความเห็นชอบให้ทำการสืบพยานหลักฐานส่วนใดส่วนหนึ่งที่จะต้องกระทำนอกศาลแทนได้ ให้เจ้าพนักงานผู้ปฏิบัติหน้าที่ตามวรรคหนึ่งเป็นเจ้าพนักงานตามประมวลกฎหมายอาญาและให้นำความในมาตรา 103 มาใช้บังคับโดยอนุโลม,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การแต่งตั้งเจ้าพนักงานเพื่อสืบพยานนอกศาล
798,103/2,คู่ความฝ่ายที่เกี่ยวข้องอาจร้องขอต่อศาลให้ดำเนินการสืบพยาน หลักฐานไปตามวิธีการที่คู่ความตกลงกัน ถ้าศาลเห็นสมควรเพื่อให้การสืบพยานหลักฐานเป็นไปโดยสะดวกรวดเร็ว และเที่ยงธรรม ศาลจะอนุญาตตามคำร้องขอนั้นก็ได้ เว้นแต่ การสืบพยานหลักฐานนั้นจะเป็นการไม่ชอบด้วยกฎหมายหรือขัดต่อความสงบเรียบร้อยหรือศีลธรรมอันดีของประชาชน,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ขั้นตอนการสืบพยานในศาล
799,103/3,เพื่อให้การสืบพยานหลักฐานเป็นไปโดยสะดวก รวดเร็ว และเที่ยงธรรมประธานศาลฎีกาโดยความเห็นชอบของที่ประชุมใหญ่ของศาลฎีกามีอำนาจออกข้อกำหนดใด ๆ เพิ่มเติมเกี่ยวกับแนวทางการนำสืบพยานหลักฐานได้ แต่ต้องไม่ขัดหรือแย้งกับบทบัญญัติในกฎหมาย ข้อกำหนดของประธานศาลฎีกาตามวรรคหนึ่ง เมื่อประกาศในราชกิจจานุเบกษาแล้ว   ให้ใช้บังคับได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อกำหนดและวิธีการสืบพยานหลักฐานในศาล
800,104,ให้ศาลมีอำนาจเต็มที่ในอันที่จะวินิจฉัยว่าพยานหลักฐานที่คู่ความนำมาสืบนั้นจะเกี่ยวกับประเด็นและเป็นอันเพียงพอ ให้เชื่อฟังเป็นยุติได้หรือไม่ แล้วพิพากษาคดีไปตามนั้น ในการวินิจฉัยว่าพยานบอกเล่าตามมาตรา 95/1 หรือบันทึกถ้อยคำที่ผู้ให้ถ้อยคำมิได้มาศาลตามมาตรา 120/1 วรรคสามและวรรคสี่ หรือบันทึกถ้อยคำตามมาตรา 120/2 จะมีน้ำหนักให้เชื่อได้หรือไม่เพียงใดนั้น ศาลจะต้องกระทำด้วยความระมัดระวังโดยคำนึงถึงสภาพ ลักษณะและแหล่งที่มาของพยานบอกเล่าหรือบันทึกถ้อยคำนั้นด้วย,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,หลักเกณฑ์การวินิจฉัยความชอบด้วยกฎหมาย
801,105,คู่ความฝ่ายใดไม่ปฏิบัติตามบทบัญญัติแห่งประมวลกฎหมายนี้ ว่าด้วยพยานหลักฐาน กระทำให้คู่ความอีกฝ่ายหนึ่งต้องเสียค่าฤชาธรรมเนียม หรือค่าธรรมเนียมเกินกว่าที่ควรเสีย ค่าฤชาธรรมเนียมที่เพิ่มขึ้นนั้น ให้ถือว่าเป็นค่าฤชาธรรมเนียมอันไม่จำเป็นตามความหมายแห่งมาตรา 166 และให้คู่ความฝ่ายที่ก่อให้เกิดขึ้นนั้นเป็นผู้ออกใช้ให้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ค่าธรรมเนียมที่ไม่เหมาะสม
802,106,ในกรณีที่คู่ความฝ่ายใดไม่สามารถนำพยานของตนมาศาลได้เอง คู่ความฝ่ายนั้นอาจขอต่อศาลก่อนวันสืบพยานให้ออกหมายเรียกพยานนั้นมาศาลได้ โดยศาลอาจให้คู่ความฝ่ายนั้นแถลงถึงความเกี่ยวพันของพยานกับข้อเท็จจริงในคดีอันจำเป็นที่จะต้องออกหมายเรียกพยานดังกล่าวด้วยและต้องส่งหมายเรียกพร้อมสำเนาคำแถลงของผู้ขอให้พยานรู้ล่วงหน้าอย่างน้อยสามวัน หมายเรียกพยานต้องมีข้อความดังนี้ (1) ชื่อและตำบลที่อยู่ของพยาน ชื่อคู่ความ ศาล และทนายความฝ่ายผู้ขอ (2) สถานที่และวันเวลาซึ่งพยานจะต้องไป (3) กำหนดโทษที่จะต้องรับในกรณีที่ไม่ไปตามหมายเรียกหรือเบิกความเท็จ ถ้าศาลเห็นว่าพยานจะไม่สามารถเบิกความได้โดยมิได้ตระเตรียม ศาลจะจดแจ้งข้อเท็จจริงซึ่งพยานอาจถูกซักถามลงไว้ในหมายเรียกด้วยก็ได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การออกหมายเรียกพยาน
803,106/1,ห้ามมิให้ออกหมายเรียกพยานดังต่อไปนี้ (1) พระมหากษัตริย์ พระราชินี พระรัชทายาท หรือผู้สำเร็จราชการแทนพระองค์ไม่ว่าในกรณีใด ๆ (2) พระภิกษุและสามเณรในพุทธศาสนา ไม่ว่าในกรณีใด ๆ (3) ผู้ที่ได้รับเอกสิทธิ์หรือความคุ้มกันตามกฎหมาย ในกรณีตาม (2) และ (3) ให้ศาลหรือผู้พิพากษาที่รับมอบ หรือศาลที่ได้รับแต่งตั้งออก  คำบอกกล่าวว่าจะสืบพยานนั้น ณ สถานที่และวันเวลาใดแทนการออกหมายเรียก โดยในกรณีตาม (2) ให้ส่งไปยังพยาน ส่วนตาม (3) ให้ส่งคำบอกกล่าวไปยังสำนักงานศาลยุติธรรมเพื่อดำเนินการตามบทบัญญัติว่าด้วยการนั้น หรือตามหลักกฎหมายระหว่างประเทศ,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อจำกัดในการเรียกพยาน
804,107,ถ้าศาลเห็นว่าในการสืบสวนหาความจริงจำเป็นต้องไปสืบพยาน ณ สถานที่ซึ่งข้อเท็จจริงอันประสงค์จะให้พยานเบิกความนั้นได้เกิดขึ้น ให้ศาลหรือผู้พิพากษาที่ รับมอบ หรือศาลที่ได้รับแต่งตั้งเพื่อการนั้นส่งหมายเรียกไปยังพยานระบุสถานที่และวันเวลาที่จะไปสืบพยาน แล้วสืบพยานไปตามนั้น,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ขั้นตอนการสืบพยาน
805,108,พยานที่ได้รับหมายเรียกโดยชอบดังที่บัญญัติไว้ในมาตรา 106 และมาตรา 107 นั้น จำต้องไป ณ สถานที่และตามวันเวลาที่กำหนดไว้ เว้นแต่มีเหตุเจ็บป่วยหรือมีข้อแก้ตัวอันจำเป็นอย่างอื่นโดยได้แจ้งเหตุนั้นให้ศาลทราบแล้ว และศาลเห็นว่าข้ออ้างหรือ ข้อแก้ตัวนั้นฟังได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อต่อสู้ของพยาน
806,109,เมื่อพยานคนใดได้เบิกความแล้ว ไม่ว่าพยานนั้นจะได้รับหมายเรียก หรือคู่ความนำมาเองก็ดี พยานนั้นย่อมหมดหน้าที่ ๆ จะอยู่ที่ศาลอีกต่อไป เว้นแต่ศาลจะได้สั่งให้พยานนั้นรอคอยอยู่ตามระยะเวลาที่ศาลจะกำหนดไว้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ขั้นตอนการพิจารณาคดี
807,110,ถ้าพยานคนใดที่คู่ความได้บอกกล่าวความจำนงจะอ้างอิงคำเบิกความของพยานโดยชอบแล้ว ไม่ไปศาลในวันกำหนดนับสืบพยานนั้น ศาลชอบที่จะดำเนินการพิจารณาต่อไป และชี้ขาดตัดสินคดีโดยไม่ต้องสืบพยานเช่นว่านั้นได้ แต่ต้องอยู่ภายใต้บังคับบทบัญญัติแห่งมาตราต่อไปนี้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,หลักเกณฑ์การตัดสินคดีโดยไม่ต้องสืบพยาน
808,111,เมื่อศาลเห็นว่าคำเบิกความของพยานที่ไม่มาศาลเป็นข้อสำคัญในการวินิจฉัยชี้ขาดคดี (1) แต่ศาลเห็นว่าข้ออ้างว่าพยานไม่สามารถมาศาลนั้นเป็นเพราะเหตุเจ็บป่วยของพยาน หรือพยานมีข้อแก้ตัวอันจำเป็นอย่างอื่นที่ฟังได้ ศาลจะเลื่อนการนั่งพิจารณาคดีไปเพื่อให้พยานมาศาลหรือเพื่อสืบพยานนั้น ณ สถานที่และเวลาอันควรแก่พฤติการณ์ก็ได้ หรือ (2) ศาลเห็นว่าพยานได้รับหมายเรียกโดยชอบแล้ว จงใจไม่ไปยังศาลหรือไม่ไป ณ สถานที่และตามวันเวลาที่กำหนดไว้ หรือได้รับคำสั่งศาลให้รอคอยอยู่แล้วจงใจหลบเสีย ศาลจะเลื่อนการนั่งพิจารณาคดีไปและออกหมายจับและเอาตัวพยานกักขังไว้จนกว่าพยานจะได้เบิกความตามวันที่ศาลเห็นสมควรก็ได้  ทั้งนี้ ไม่เป็นการลบล้างโทษตามที่บัญญัติไว้ในประมวลกฎหมายอาญา,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,การเลื่อนนั่งพิจารณาคดีและวิธีการจัดการกับพยานที่ไม่มาศาล
809,112,ก่อนเบิกความพยานทุกคนต้องสาบานตนตามลัทธิศาสนาหรือจารีตประเพณีแห่งชาติของตน หรือกล่าวคำปฏิญาณว่าจะให้การตามความสัตย์จริงเสียก่อน เว้นแต่ (1) พระมหากษัตริย์ พระราชินี พระรัชทายาท หรือผู้สำเร็จราชการแทนพระองค์ (2) บุคคลที่มีอายุต่ำกว่าสิบห้าปี หรือบุคคลที่ศาลเห็นว่าหย่อนความรู้สึกผิดและชอบ (3) พระภิกษุและสามเณรในพุทธศาสนา (4) บุคคลซึ่งคู่ความทั้งสองฝ่ายตกลงกันว่าไม่ต้องให้สาบานหรือกล่าวคำปฏิญาณ,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อตกลงก่อนการเบิกความ
810,113,พยานทุกคนต้องเบิกความด้วยวาจาและห้ามไม่ให้พยานอ่านข้อความที่เขียนมา เว้นแต่จะได้รับอนุญาตจากศาล หรือเป็นพยานผู้เชี่ยวชาญ,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อตกลงในการเบิกความ
811,114,ห้ามไม่ให้พยานเบิกความต่อหน้าพยานอื่นที่จะเบิกความภายหลังและศาลมีอำนาจที่จะสั่งพยานอื่นที่อยู่ในห้องพิจารณาให้ออกไปเสียได้ แต่ถ้าพยานคนใดเบิกความโดยได้ฟังคำพยานคนก่อนเบิกความต่อหน้าตนมาแล้ว และคู่ความอีกฝ่ายหนึ่งอ้างว่าศาลไม่ควรฟังคำเบิกความเช่นว่านี้ เพราะเป็นการผิดระเบียบถ้าศาลเห็นว่าคำเบิกความเช่นว่านี้เป็นที่เชื่อฟังได้ หรือมิได้เปลี่ยนแปลงไปโดยได้ฟังคำเบิกความของพยานคนก่อน หรือไม่สามารถทำให้คำวินิจฉัยชี้ขาดของศาลเปลี่ยนแปลงไปได้ ศาลจะไม่ฟังว่าคำเบิกความเช่นว่านี้เป็นผิดระเบียบก็ได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,ข้อกำหนดในการเบิกความของพยาน
812,115,พระมหากษัตริย์ พระราชินี พระรัชทายาท ผู้สำเร็จราชการแทนพระองค์หรือพระภิกษุและสามเณรในพุทธศาสนา แม้มาเป็นพยานจะไม่ยอมเบิกความหรือตอบคำถาม ใด ๆ ก็ได้สำหรับบุคคลที่ได้รับเอกสิทธิ์หรือความคุ้มกันตามกฎหมายจะไม่ยอมเบิกความหรือตอบคำถามใด ๆ ภายใต้เงื่อนไขที่กำหนดไว้ตามกฎหมายนั้น ๆ ก็ได้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,สิทธิ์ในการไม่เบิกความ
813,116,ในเบื้องต้นให้พยานตอบคำถามเรื่อง นาม อายุ ตำแหน่ง หรืออาชีพภูมิลำเนาและความเกี่ยวพันกับคู่ความ แล้วศาลอาจปฏิบัติอย่างใดอย่างหนึ่งต่อไปนี้ (1) ศาลเป็นผู้ถามพยานเอง กล่าวคือ แจ้งให้พยานทราบประเด็นและข้อเท็จจริง       ซึ่งต้องการสืบแล้วให้พยานเบิกความในข้อนั้น ๆ โดยวิธีเล่าเรื่องตามลำพังหรือโดยวิธีตอบคำถามของศาล หรือ (2) ให้คู่ความซักถาม และถามค้านพยานไปทีเดียว ดังที่บัญญัติไว้ในมาตราต่อไปนี้,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,หมวดหมู่การสืบพยาน
